"stock","temperature","oxygen","sex","fresh_mass","wing_area","ID_fly","cell_area","cell_number","cell_area_log","cell_number_log","wing_area_log","fresh_mass_log","cell_area_cat","cell_area_delta","fresh_mass_delta","wing_area_delta"
"25180",25,21,"male",0.721,722666.123,"20191126-DRME-P1-F1",124.675968253968,5796.354607232,2.0957827497055,3.7631549467186,5.8589376964241,-0.142064735280571,"small",0,4.79651162790697,1.71581182178002
"25180",25,21,"male",0.684,704671.172,"20191126-DRME-P1-F10",128.763704918033,5472.59161615902,2.10979346414832,3.73819304078529,5.84798650493361,-0.164943898279884,"small",3.27868852459017,-0.581395348837199,-0.81699135164085
"25180",25,21,"male",0.663,716324.518,"20191126-DRME-P1-F11",122.72790625,5836.68816561433,2.0889433251752,3.76616649105376,5.85510981622895,-0.178486471595227,"small",-1.5625,-3.63372093023254,0.823226047660297
"25180",25,21,"male",0.691,738475.84,"20191126-DRME-P1-F12",124.675968253968,5923.16105775658,2.0957827497055,3.77255354178225,5.86833629148775,-0.160521952625802,"small",0,0.436046511627897,3.94104163143527
"25180",25,21,"male",0.67,706046.171,"20191126-DRME-P1-F2",122.72790625,5752.93910385601,2.0889433251752,3.75988977694584,5.84883310212104,-0.173925197299174,"small",-1.5625,-2.61627906976742,-0.62345918638792
"25180",25,21,"male",0.694,641773.746,"20191126-DRME-P1-F4",117.232626865672,5474.36121801964,2.06904849645826,3.73833345032968,5.80738194678793,-0.158640529545145,"small",-5.97014925373135,0.872093023255816,-9.66985236653352
"25180",25,21,"male",0.688,713402.876,"20191126-DRME-P1-F5",130.909766666667,5449.57717185858,2.11697204877544,3.73636280703768,5.85333485581312,-0.162411561764489,"small",5,0,0.41200269233137
"25180",25,21,"male",0.706,710475.697,"20191126-DRME-P1-F8",119.008878787879,5969.93858135871,2.07557936361721,3.77596986313704,5.85154922675425,-0.151195298948196,"small",-4.54545454545455,2.61627906976745,0
"25180",25,21,"male",0.67,699802.385,"20191126-DRME-P1-G1",128.832049180328,5431.89671710086,2.11002391466009,3.73495150361051,5.8449754182706,-0.173925197299174,"small",3.33350603533598,-2.61627906976742,-1.50227686113239
"25180",25,10,"male",0.533,659210.415,"20191126-DRME-P4-B1",106.274567567568,6202.89905748979,2.02642934649354,3.79259471375696,5.81902406025049,-0.273272790973428,"small",-14.7593806120812,-22.5290697674418,-7.21562781337474
"25180",25,10,"male",0.62,681736.097,"20191126-DRME-P4-B12",107.730383561644,6328.16921708914,2.03233820610406,3.80127808380591,5.83361628990996,-0.207608310501746,"small",-13.5917008944385,-9.88372093023255,-4.04512077209026
